cha taehyun	song hyegyo
song hyegyo	duduk manis dan selamat menikmati
duduk manis dan selamat menikmati	suho !
suho !	asapnya terus mendekatiku .
asapnya terus mendekatiku .	kembali ke kampung halaman , kukira aku akan dapat sashimi ...
kembali ke kampung halaman , kukira aku akan dapat sashimi ...	tapi yang kudapatkan hanyalah usus babi ?
tapi yang kudapatkan hanyalah usus babi ?	hai , ikan mentah di seoul paling murah dan paling segar .
hai , ikan mentah di seoul paling murah dan paling segar .	semua yang ada disini dibawa dari seoul .
semua yang ada disini dibawa dari seoul .	tapi kami dekat dengan laut !
tapi kami dekat dengan laut !	ini , daging mentah !
ini , daging mentah !	hai , kenapa si berandal itu belum datang ?
hai , kenapa si berandal itu belum datang ?	apa tahun ini dia tidak akan hadir juga ?
apa tahun ini dia tidak akan hadir juga ?	menurutmu dia akan datang ?
menurutmu dia akan datang ?	dia belum menampakkan batang hidungnya tahun ini .
dia belum menampakkan batang hidungnya tahun ini .	dia masih tidak bisa melupakan gadis itu ?
dia masih tidak bisa melupakan gadis itu ?	siapa ?
siapa ?	sueun ?
sueun ?	har sueun sudah meninggal .
har sueun sudah meninggal .	benarkah ?
benarkah ?	ini sudah dimasak atau belum ?
ini sudah dimasak atau belum ?	jika pacar pertamamu meninggal , apa kamu mudah melupakannya ?
jika pacar pertamamu meninggal , apa kamu mudah melupakannya ?	lupakan itu .
lupakan itu .	dia lupa atau tidak , itu adalah kehidupannya sendiri .
dia lupa atau tidak , itu adalah kehidupannya sendiri .	nyonya !
nyonya !	nyonya !
nyonya !	suho !
suho !	senang bisa melihatmu .
senang bisa melihatmu .	aku juga .
aku juga .	sudah lama .
sudah lama .	bae sueun !
bae sueun !	bae sueun !
bae sueun !	bisa kamu dengar aku ?
bisa kamu dengar aku ?	sueun , pria ini , suho masih tidak bisa melupakanmu .
sueun , pria ini , suho masih tidak bisa melupakanmu .	hentikan itu !
hentikan itu !	otaknya kecil , tapi penuh dengan pikiran mengenai dirimu .
otaknya kecil , tapi penuh dengan pikiran mengenai dirimu .	lepaskan temanku !
lepaskan temanku !	kumohon , sueun !
kumohon , sueun !	hah ?
hah ?	pagerku ...
pagerku ...	kami mencarimu kemanamana .
kami mencarimu kemanamana .	apa yang kamu lakukan disini ?
apa yang kamu lakukan disini ?	aku tidak tahu .
aku tidak tahu .	kakiku kejang .
kakiku kejang .	apa kalian menyelamatkanku ?
apa kalian menyelamatkanku ?	apa kamu bermimpi ?
apa kamu bermimpi ?	hai , gadisgadis ...
hai , gadisgadis ...	dimana , mana ?
dimana , mana ?	oh , gadis !
oh , gadis !	kakek !
kakek !	kakek !
kakek !	iya tuhan !
iya tuhan !	oh , kamu .
oh , kamu .	apa ini terlalu sempit ?
apa ini terlalu sempit ?	kenapa kamu tibatiba keluar seperti itu ?
kenapa kamu tibatiba keluar seperti itu ?	kamu mengagetkanku .
kamu mengagetkanku .	apa peti mati itu untukmu ?
apa peti mati itu untukmu ?	memangnya aku akan segera mati .
memangnya aku akan segera mati .	kamu dan aku tumbuh bersama , hatihatilah dengan omonganmu .
kamu dan aku tumbuh bersama , hatihatilah dengan omonganmu .	lalu untuk siapa ?
lalu untuk siapa ?	tn .
tn .	park .
park .	ayahnya pak kades ?
ayahnya pak kades ?	aku suka yang ini .
aku suka yang ini .	yang itu mahal .
yang itu mahal .	kalau begitu berikan diskon .
kalau begitu berikan diskon .	iya , apapun .
iya , apapun .	kami memasak sup kacang buncis , mampirlah jika kamu sempat .
kami memasak sup kacang buncis , mampirlah jika kamu sempat .	baik .
baik .	jaga diri .
jaga diri .	wow , ini cuaca pembunuh !
wow , ini cuaca pembunuh !	kamu tidak boleh gunakan kata itu disini .
kamu tidak boleh gunakan kata itu disini .	kenapa ?
kenapa ?	tidak ada yang akan meninggal disini .
tidak ada yang akan meninggal disini .	wow , ini bir pembunuh .
wow , ini bir pembunuh .	kamu berlebihan .
kamu berlebihan .	apa tn .
apa tn .	park akan meninggal ?
park akan meninggal ?	semua orang akan meninggal cepat atau lambat .
semua orang akan meninggal cepat atau lambat .	biarkan beristirahat .
biarkan beristirahat .	istirahat dalam damai ?
istirahat dalam damai ?	dimana ?
dimana ?	wow , ini cuaca pembunuh .
